Municipal,County,Cases,Date
ewing township,mercer county,431,may-9-2020
hamilton township,mercer county,1051,may-9-2020
hightstown,mercer county,110,may-9-2020
hopewell,mercer county,4,may-9-2020
hopewell township,mercer county,76,may-9-2020
lawrence township,mercer county,228,may-9-2020
pennington,mercer county,11,may-9-2020
princeton,mercer county,135,may-9-2020
robbinsville township,mercer county,71,may-9-2020
trenton,mercer county,1622,may-9-2020
west windsor township,mercer county,142,may-9-2020
carteret,middlesex county,578,may-9-2020
cranbury,middlesex county,39,may-9-2020
dunellen,middlesex county,165,may-9-2020
east brunswick,middlesex county,584,may-9-2020
edison,middlesex county,1570,may-9-2020
helmetta,middlesex county,32,may-9-2020
highland park,middlesex county,137,may-9-2020
jamesburg,middlesex county,107,may-9-2020
metuchen,middlesex county,109,may-9-2020
middlesex,middlesex county,201,may-9-2020
milltown,middlesex county,70,may-9-2020
monroe township,middlesex county,601,may-9-2020
new brunswick,middlesex county,1434,may-9-2020
north brunswick,middlesex county,767,may-9-2020
old bridge township,middlesex county,873,may-9-2020
perth amboy,middlesex county,1931,may-9-2020
piscataway,middlesex county,754,may-9-2020
plainsboro township,middlesex county,133,may-9-2020
sayreville,middlesex county,597,may-9-2020
south amboy,middlesex county,146,may-9-2020
south brunswick,middlesex county,416,may-9-2020
south plainfield,middlesex county,456,may-9-2020
south river,middlesex county,239,may-9-2020
spotswood,middlesex county,82,may-9-2020
woodbridge township,middlesex county,1655,may-9-2020
aberdeen township,monmouth county,209,may-9-2020
allenhurst,monmouth county,2,may-9-2020
allentown,monmouth county,6,may-9-2020
asbury park,monmouth county,159,may-9-2020
atlantic highlands,monmouth county,25,may-9-2020
avon-by-the-sea,monmouth county,12,may-9-2020
belmar,monmouth county,25,may-9-2020
bradley beach,monmouth county,39,may-9-2020
brielle,monmouth county,25,may-9-2020
colts neck township,monmouth county,69,may-9-2020
deal,monmouth county,23,may-9-2020
eatontown,monmouth county,215,may-9-2020
englishtown,monmouth county,37,may-9-2020
fair haven,monmouth county,22,may-9-2020
farmingdale,monmouth county,14,may-9-2020
freehold borough,monmouth county,338,may-9-2020
freehold township,monmouth county,571,may-9-2020
hazlet,monmouth county,252,may-9-2020
highlands,monmouth county,26,may-9-2020
holmdel township,monmouth county,214,may-9-2020
howell township,monmouth county,557,may-9-2020
interlaken,monmouth county,1,may-9-2020
keansburg,monmouth county,138,may-9-2020
keyport,monmouth county,78,may-9-2020
lake como,monmouth county,16,may-9-2020
little silver,monmouth county,33,may-9-2020
loch arbour,monmouth county,1,may-9-2020
long branch,monmouth county,399,may-9-2020
manalapan township,monmouth county,431,may-9-2020
manasquan,monmouth county,30,may-9-2020
marlboro township,monmouth county,406,may-9-2020
matawan,monmouth county,159,may-9-2020
middletown township,monmouth county,536,may-9-2020
millstone township,monmouth county,80,may-9-2020
monmouth beach,monmouth county,17,may-9-2020
neptune city,monmouth county,47,may-9-2020
neptune township,monmouth county,386,may-9-2020
ocean township,monmouth county,254,may-9-2020
oceanport,monmouth county,57,may-9-2020
red bank,monmouth county,157,may-9-2020
roosevelt,monmouth county,5,may-9-2020
rumson,monmouth county,31,may-9-2020
sea bright,monmouth county,9,may-9-2020
sea girt,monmouth county,13,may-9-2020
shrewsbury,monmouth county,47,may-9-2020
shrewsbury township,monmouth county,9,may-9-2020
spring lake,monmouth county,12,may-9-2020
spring lake heights,monmouth county,17,may-9-2020
tinton falls,monmouth county,171,may-9-2020
union beach,monmouth county,38,may-9-2020
upper freehold township,monmouth county,43,may-9-2020
wall township,monmouth county,262,may-9-2020
west long branch,monmouth county,58,may-9-2020
boonton,morris county,99,may-9-2020
boonton township,morris county,63,may-9-2020
butler,morris county,80,may-9-2020
chatham borough,morris county,52,may-9-2020
chatham township,morris county,121,may-9-2020
chester borough,morris county,7,may-9-2020
chester township,morris county,41,may-9-2020
denville township,morris county,141,may-9-2020
dover,morris county,606,may-9-2020
east hanover township,morris county,126,may-9-2020
florham park,morris county,116,may-9-2020
hanover township,morris county,157,may-9-2020
harding township,morris county,24,may-9-2020
jefferson township,morris county,199,may-9-2020
kinnelon,morris county,63,may-9-2020
lincoln park,morris county,286,may-9-2020
long hill township,morris county,43,may-9-2020
madison,morris county,118,may-9-2020
mendham borough,morris county,57,may-9-2020
mendham township,morris county,38,may-9-2020
mine hill township,morris county,56,may-9-2020
montville,morris county,210,may-9-2020
morris plains,morris county,53,may-9-2020
morris township,morris county,265,may-9-2020
morristown,morris county,465,may-9-2020
mount arlington,morris county,44,may-9-2020
mount olive township,morris county,234,may-9-2020
mountain lakes,morris county,18,may-9-2020
netcong,morris county,29,may-9-2020
parsippany-troy hills,morris county,644,may-9-2020
pequannock township,morris county,175,may-9-2020
randolph,morris county,252,may-9-2020
riverdale,morris county,34,may-9-2020
rockaway,morris county,92,may-9-2020
rockaway township,morris county,228,may-9-2020
roxbury township,morris county,228,may-9-2020
victory gardens,morris county,32,may-9-2020
washington township,morris county,101,may-9-2020
wharton,morris county,144,may-9-2020
barnegat township,ocean county,210,may-9-2020
